34,"""Flinders St-Spark La"""
39,"""Alfred Place"""
37,"""Lygon St (East)"""
40,"""Lonsdale St-Spring St (West)"""
36,"""Queen St (West)"""
29,"""St Kilda Rd-Alexandra Gardens"""
42,"""Grattan St-Swanston St (West)"""
43,"""Monash Rd-Swanston St (West)"""
44,"""Tin Alley-Swanston St (West)"""
35,"""Southbank"""
45,"""Little Collins St-Swanston St (East)"""
46,"""Pelham St (S)"""
47,"""Melbourne Central-Elizabeth St (East)"""
48,"""QVM-Queen St (East)"""
49,"""QVM-Therry St (South)"""
50,"""Faraday St-Lygon St (West)"""
51,"""QVM-Franklin St (North)"""
52,"""Elizabeth St-Lonsdale St (South)"""
54,"""Lincoln-Swanston(West)"""
55,"""Elizabeth St-La Trobe St (East)"""
56,"""Lonsdale St - Elizabeth St (North)"""
57,"""Bourke St Bridge"""
58,"""Bourke St - Spencer St (North)"""
59,"""Swanston St - RMIT Building 80"""
61,"""Swanston St - RMIT Building 14"""
62,"""La Trobe St (North)"""
4,"""Town Hall (West)"""
17,"""Collins Place (South)"""
18,"""Collins Place (North)"""
53,"""Collins St (North)"""
2,"""Bourke Street Mall (South)"""
1,"""Bourke Street Mall (North)"""
3,"""Melbourne Central"""
15,"""State Library"""
9,"""Southern Cross Station"""
10,"""Victoria Point"""
12,"""New Quay"""
11,"""Waterfront City"""
8,"""Webb Bridge"""
7,"""Birrarung Marr"""
5,"""Princes Bridge"""
6,"""Flinders Street Station Underpass"""
14,"""Sandridge Bridge"""
26,"""QV Market-Elizabeth St (West)"""
24,"""Spencer St-Collins St (North)"""
23,"""Spencer St-Collins St (South)"""
25,"""Melbourne Convention Exhibition Centre"""
21,"""Bourke St-Russell St (West)"""
20,"""Chinatown-Lt Bourke St (South)"""
19,"""Chinatown-Swanston St (North)"""
22,"""Flinders St-Elizabeth St (East)"""
27,"""QV Market-Peel St"""
28,"""The Arts Centre"""
31,"""Lygon St (West)"""
30,"""Lonsdale St (South)"""
41,"""Flinders La-Swanston St (West)"""
13,"""Flagstaff Station"""
16,"""Australia on Collins"""
32,"""City Square"""
33,"""Flinders St-Spring St (West)"""
38,"""Flinders St-Swanston St (West)"""
60,"""Flinders La - Swanston St (West) Temp"""
63,"""231 Bourke St"""
64,"""Royal Pde-Grattan St"""
65,"""Swanston St - City Square"""
66,"""State Library-New"""
67,"""Flinders Ln -Degraves St (South)"""
68,"""Flinders Ln -Degraves St (North)"""
69,"""Flinders Ln -Degraves St (Crossing)"""
70,"""Errol Street (East)"""
71,"""Westwood Place"""
73,"""Bourke St - Spencer St (South)"""
72,"""Flinders St-ACMI"""
75,"""Spring St- Flinders St (West)"""
